year,BHR,BRR,BVR,CBR,CCK,CFK,CHL,CMR,CRR,EFR,GRR,HTR,MNR,MSR,NRR,PRR,RRR,SRR,TAR,WFR,For,ForSE,Agstrat,AgstratSE,Ag,AgSE
1997,-0.497415123,-0.521829502,-0.323534762,1.453556756,1.385437965,-0.012684855,-0.748754381,0.280230678,1.129812805,1.246502444,1.235915908,0.464292395,2.211377793,-0.207555407,-0.106037965,-0.419293554,-0.765582221,0.816148871,-0.696448906,0.626811082,0.482359413,0.520898526,0.222922989,0.381131467,0.278840135,0.273588001
1998,-0.03878591,0.997864649,1.629617549,-0.112627285,0.648707472,0.344163813,0.868534866,0.295651799,-0.013772716,1.181194508,0.617842065,1.255069421,1.14031865,3.343727533,0.113410046,0.521854567,0.39885327,1.659551663,0.796115241,0.438637081,0.390755681,0.215563397,0.895742108,0.156263195,1.060474006,0.449997315
1999,-1.660830471,-0.793203457,-0.39379204,-1.336593946,-1.307030905,-1.600661428,-0.010192292,-0.254368174,-1.89766423,-1.619511236,-1.938511349,-1.148099757,-0.948478511,-1.540279597,-1.000288609,-0.403205552,-1.299281822,-0.337981266,-0.762082834,-1.014484371,-1.302168038,0.274370424,-1.159059092,0.203434453,-0.803971949,0.225309158
2000,0.03635673,-1.493606714,0.870838953,0.901692694,0.491893351,0.593957881,1.121910181,0.843101585,1.942132999,0.54067436,-0.28207345,0.933472079,1.307236958,-0.366449498,-0.40503588,1.444233352,1.166046446,-0.102977392,-0.779099038,-0.927366778,1.064783584,0.335547791,0.073524844,0.36292112,0.41795911,0.25541924
2001,0.621951092,0.413764516,0.772478765,0.389908145,0.471182052,0.063145487,1.661006597,0.974181111,1.515808926,2.231145181,-0.600999553,0.530374041,0.690566542,-0.757726198,0.299940856,0.331479876,1.059913003,0.450587289,-1.082959817,1.550257568,0.644590385,0.244720703,0.466360592,0.411238502,0.506895977,0.276450048
2002,-1.507954067,-0.26596263,-1.60221721,-1.216355408,1.397272993,-0.503351774,-1.212377299,-0.66559806,-1.935111615,-1.458753238,-1.570139339,-1.222992289,-1.433005266,-1.64157458,-0.712263095,-1.435519018,-0.11968441,-1.45294409,-1.780624166,-1.261898335,-1.362988348,0.234251809,-0.771444,0.441926851,-1.160586403,0.135621749
2003,0.948432905,2.336642829,1.188401847,2.261313091,0.382419342,1.207291529,0.442648698,0.190274141,0.291567499,0.510532235,0.504116478,1.929102206,0.889941188,0.974219397,1.1832191,-0.156522853,-0.195494012,0.980651582,0.188393683,2.613092203,0.636142053,0.248515651,0.702144629,0.314562445,1.137346888,0.281280962
2004,1.085762556,0.41634903,0.148594142,-1.136196382,-0.629475552,-0.188878885,0.113799884,-0.45741293,1.253677232,0.131243834,0.036852653,1.57226132,0.58392429,0.404186845,-0.555906387,0.044577172,-0.250076926,0.925817345,0.404742558,-0.122400218,0.555812473,0.281476406,0.036889963,0.14032939,0.123792813,0.352115678
2005,-0.19425344,1.737035613,-0.773181337,-1.432168169,-0.487455216,-0.969485346,0.755324619,1.629578742,-0.883704271,-0.0948221,-0.091706706,-0.850732352,1.035994707,-0.725947379,1.054293393,-0.352260212,0.881002341,-0.865434405,-1.189918811,-0.132854329,-0.272741712,0.359444123,-0.002720888,0.379916536,-0.062155079,0.446183857
2006,0.287695903,-0.175504644,-0.362878838,0.895526615,0.030327259,-0.550188161,-0.63015317,-0.303201723,-0.728153596,-0.562025032,0.734039948,-0.377147225,-0.039701056,-0.269126867,-0.333715276,1.736498723,0.380658966,0.069358782,-1.080528931,-0.495263516,0.141230363,0.437776057,-0.147987325,0.227681468,-0.135494123,0.188561437
2007,-1.05709823,-1.436747409,-0.922126765,-0.584332321,-0.969732607,-1.944128271,-0.508856476,-0.699010488,-0.512110991,-1.458753238,-1.177044375,0.054586193,-0.9693433,0.237348049,-1.395295029,-1.137890979,-0.923266194,-0.07686585,-1.491348704,-1.112056075,-1.124114354,0.231905797,-1.197002756,0.099423208,-0.424632275,0.209243375
2008,-0.712478539,-0.816464082,-1.470133529,0.346745593,-0.457867646,-1.01409143,1.739175577,2.282406186,-0.287426682,-0.677569842,-0.957010087,-0.352917288,-0.099977112,-0.644514158,-1.260883122,-0.727646927,0.11684155,-1.272774453,-1.170471721,-0.157247255,-0.568324138,0.164791541,-0.77609648,0.193949794,0.119605476,0.534610095
2009,0.222917765,1.01854076,-0.576460961,-0.223616705,-0.747825832,0.573885143,0.286310737,0.046343681,-0.993165858,1.083232603,1.458422492,-0.899192225,0.488873586,-0.612735339,0.925367687,1.942961416,1.905948164,-0.80537786,0.572473708,1.017097899,0.447094411,0.467976725,0.673475848,0.378428504,-0.183271432,0.24822883
2010,0.593448712,0.571419862,-0.896834146,0.318998238,0.290697875,-0.171036451,0.528904124,-0.213245185,-0.45449963,-0.02700232,-0.178237044,0.523765876,-0.5450926,0.652458862,-0.045689762,-0.384436216,-1.793560429,1.00415197,-0.69401802,0.72786749,-0.192323237,0.205910267,-0.389647746,0.304082438,0.395620589,0.157495684
2011,0.471665813,-0.860400818,-1.057020738,-0.716903017,-0.922392495,-0.023836376,-1.298632725,-1.320995691,-0.267262706,0.143803053,-1.47866441,-1.480710707,-1.082940481,0.110232776,-1.074352313,0.146467852,0.165359695,-0.956824801,0.769375493,-0.031797921,-0.15118118,0.26214503,-0.462848603,0.309961547,-0.962598068,0.203169134
2012,-1.386171169,-0.240117491,-1.06264132,-1.253351881,-1.505267624,0.234878909,-1.702955037,-2.726887863,-0.777123253,-1.235199147,-1.028706652,-0.863948681,-1.069030622,-0.807380601,-0.177358568,-1.103033642,-0.926298578,-1.2074956,-0.380433696,-1.383862965,-0.820095955,0.280827524,-0.911237787,0.17091676,-1.248482605,0.304086257
2013,1.484795883,0.23543306,-1.079503067,0.605720907,0.497810865,3.198953158,-0.506160994,-1.151363363,-0.091548054,0.518067766,1.540008239,-0.260402985,-0.804743301,-0.580956521,2.157019649,-0.202105526,1.460187703,0.10591494,0.88119626,0.309703043,0.717070432,0.726767142,0.579028689,0.333464007,0.052824519,0.408203768
2014,1.961562974,0.480961876,0.395899758,-0.716903017,0.616161145,0.821448907,-1.155772175,-0.447132183,-0.09730919,-0.536906594,-0.11642966,-0.269213871,-0.463951756,-0.527329765,-0.522989186,-0.489008229,-0.562412487,-0.951602492,-0.4679456,-0.22694133,0.346548541,0.46828824,-0.027238795,0.19515728,-0.655848956,0.11632664
2015,1.269732467,1.42689395,1.236176795,1.20383056,1.852921571,0.346394117,0.369870681,-0.282640228,2.109205947,2.48735324,1.574620374,2.294753978,0.412369362,1.637602228,1.926599237,2.028764094,2.151571276,2.072114019,2.63629612,1.309813011,1.233293197,0.378274426,1.909404761,0.202505945,1.317447211,0.360862253
2016,0.787783124,0.760089374,0.859597789,-0.951214015,0.086543642,0.544891189,-0.023669702,0.619495334,0.179225344,0.837071918,1.527646762,1.204406826,2.016639767,-0.227417168,2.409384861,0.082115844,1.123593068,-0.852378634,1.143731973,1.696615124,0.722131054,0.347551655,0.905467789,0.168325707,0.311229643,0.453691071
2017,0.14000175,0.049348062,0.741565563,1.305570862,1.2522939,0.038612141,-0.713713114,-0.035902297,1.028992923,-0.077239194,-0.101595888,0.043572585,0.352093306,0.980177925,-0.747923397,0.237633197,-0.140911098,0.635979234,1.087821589,0.574540526,0.359466663,0.17525348,0.401611848,0.229442884,0.209680257,0.302132749
2018,0.570128582,0.475792849,0.884890408,0.124766753,1.773035132,0.75900039,0.66637371,-0.166981823,1.921969023,1.08825629,0.378029414,1.197798661,-0.076794013,1.057638795,0.897936686,1.304804001,0.438274263,1.393213939,0.657554726,0.762714527,0.895821597,0.338454004,0.81369044,0.187088536,0.738678103,0.21650047
